especie,nome_comum,status_2014,status_2026,is_cr,proba_extincao,bioma_amazonia,bioma_mata_atlantica,bioma_cerrado,bioma_caatinga,bioma_pampa,bioma_pantanal,bioma_sistema_costeiro_marinho,regiao_norte,regiao_nordeste,regiao_sudeste,regiao_sul,regiao_centro_oeste,is_endemica,is_migratoria,tendencia_declinando,ameaca_expansao_urbana,ameaca_agropecuaria,ameaca_energia_mineracao,ameaca_transporte,ameaca_uso_recursos,ameaca_perturbacao_humana,ameaca_modificacoes_sistema,ameaca_invasoras,ameaca_poluicao,ameaca_mudancas_climaticas,risco_inicial_2014
Ceratophrys ornata,"Sapo-de-chifre, Sapo intanha, Sapo-untanha",CR,CR,1,0.9932958361187606,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,3.0
Thoropa petropolitana,"Rã-da-pedra, Rã-das-pedras-de-Petropolis",CR,CR,1,0.9904974947153921,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,3.0
Thoropa lutzi,"Rã-do-paredão, Rãzinha-dos-rochedos",CR,CR,1,0.9893197050553256,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,1,0,0,0,3.0
Aegla microphthalma,Não Informado,CR,CR,1,0.9881953844491081,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,3.0
Aegla leptochela,Não Informado,CR,CR,1,0.9881953844491081,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,3.0
Aegla cavernicola,Não Informado,CR,CR,1,0.9873789166216733,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,0,3.0
Holoaden bradei,"Rãzinha-verrugosa-da-serra-de-Bradei, Sapinho-manicure",CR,CR,1,0.9873238119519029,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,1,3.0
Proceratophrys ararype,Sapo-de-chifre-do-Araripe,CR,CR,1,0.9835911126538766,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,3.0
Spelaeogammarus sanctus,Não Informado,CR,CR,1,0.9833426823770408,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1,1,0,1,1,3.0
Spiripockia punctata,Não Informado,CR,CR,1,0.9827213460870682,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,0,1,1,1,0,1,3.0
Anomaloglossus tepequem,Não Informado,CR,CR,1,0.9820054306398331,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,3.0
Rhinella casconi,Cururu-do-Cascon,CR,CR,1,0.9817640119519723,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,1,0,3.0
Sluysia triapertura,Não Informado,CR,CR,1,0.9817609120404539,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,0,0,1,3.0
Paratelmatobius lutzii,Rãzinha-de-barriga-colorida,CR,CR,1,0.9801380046180365,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,1,1,0,0,3.0
Ischnocnema epipeda,Rãzinha-da-mata,CR,CR,1,0.9793912132793131,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0,0,3.0
Seborgia potiguar,Não Informado,CR,CR,1,0.9793624462993539,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,0,1,0,1,0,0,1,3.0
Crossodactylodes itambe,Sapinho-do-Itambé,CR,CR,1,0.979056211748135,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,3.0
Nyctimantis pomba,"Painted tree frog, Perereca, Perereca-de-capacete, Perereca-pintada",CR,CR,1,0.9777623755161542,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,0,1,1,0,0,3.0
Spelaeogammarus titan,Não Informado,CR,CR,1,0.9765633491294712,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,0,0,1,3.0
Potamolithus troglobius,Não Informado,CR,CR,1,0.9760812321968663,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,0,0,1,1,0,1,1,3.0
Crossodactylus boulengeri,Não Informado,CR,CR,1,0.9749895141925599,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,1,1,0,0,1,1,0,3.0
