especie,nome_comum,status_2014,status_2026,is_cr,proba_extincao,bioma_amazonia,bioma_mata_atlantica,bioma_cerrado,bioma_caatinga,bioma_pampa,bioma_pantanal,bioma_sistema_costeiro_marinho,regiao_norte,regiao_nordeste,regiao_sudeste,regiao_sul,regiao_centro_oeste,is_endemica,is_migratoria,tendencia_declinando,ameaca_expansao_urbana,ameaca_agropecuaria,ameaca_energia_mineracao,ameaca_transporte,ameaca_uso_recursos,ameaca_perturbacao_humana,ameaca_modificacoes_sistema,ameaca_invasoras,ameaca_poluicao,ameaca_mudancas_climaticas,risco_inicial_2014
Diomedea dabbenena,albatroz-de-tristão,CR,CR,1,0.9899111087934653,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,3.0
Diomedea exulans,"albatroz-errante, albatroz-gigante",CR,CR,1,0.9899111087934653,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,1,1,0,1,1,1,0,1,0,0,3.0
Fregata minor,tesourão-grande,CR,CR,1,0.9895976959765441,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,1,1,0,0,3.0
Fregata trinitatis,tesourão-pequeno,CR,CR,1,0.9875266681692785,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,0,3.0
Gubernatrix cristata,cardeal-amarelo,CR,CR,1,0.9841690352248855,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,0,1,0,0,3.0
Columbina cyanopis,rolinha-do-planalto,CR,CR,1,0.9835380174537829,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,3.0
Formicivora paludicola,bicudinho-do-brejo-paulista,CR,CR,1,0.9824323651589947,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0,3.0
Nemosia rourei,saíra-apunhalada,CR,CR,1,0.9823918872932209,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,3.0
Formicivora erythronotos,formigueiro-de-cabeça-negra,CR,CR,1,0.9819495270007642,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,3.0
Leptasthenura platensis,rabudinho,CR,CR,1,0.9807791618340739,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1,0,1,0,0,0,3.0
Ortalis remota,"aracuã, aracuan",CR,CR,1,0.979297816572446,0,1,1,0,0,0,0,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,3.0
Pterodroma arminjoniana,grazina-de-trindade,CR,CR,1,0.9787037719073112,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1,1,1,1,0,0,0,1,1,0,0,3.0
Merulaxis stresemanni,Entufado-baiano,CR,CR,1,0.9773048238526346,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,1,0,0,3.0
Mergus octosetaceus,pato-mergulhão,CR,CR,1,0.9747111776810129,0,1,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,1,0,3.0
Calyptura cristata,tietê-de-coroa,CR,CR,1,0.972839811766488,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,0,0,3.0
Cyanopsitta spixii,ararinha-azul,CR,CR,1,0.9635007766481245,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,1,1,1,1,0,1,1,0,1,3.0
Myrmotherula fluminensis,choquinha-fluminense,CR,CR,1,0.9605084565175234,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,3.0
Sporophila maximiliani,bicudo,CR,CR,1,0.9600824053250517,1,1,1,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,3.0
Myrmotherula snowi,choquinha-de-alagoas,CR,CR,1,0.9564290072677246,0,1,0,1,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,3.0
Paraclaravis geoffroyi,pararu-espelho,CR,CR,1,0.9372800301643461,0,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3.0
Sclerurus caudacutus,vira-folha-pardo,NE,CR,1,0.9032020408123115,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,0.0
Monasa morphoeus,chora-chuva-de-cara-branca,NE,EN,0,0.8837221019769138,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0.0
Celeus flavus,pica-pau-amarelo,NE,CR,1,0.8837221019769138,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0.0
Trogon muriciensis,surucuá-de-murici,NE,CR,1,0.8828352375823714,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,0,0,0.0
Pulsatrix perspicillata,murucututu,NE,CR,1,0.8601922711710401,0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.0
Megascops alagoensis,corujinha-de-alagoas,NE,EN,0,0.8551146561409221,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,0,0.0
Attila spadiceus,capitão-de-saíra-amarelo,NE,EN,0,0.8310685792337523,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.0
Trogon collaris,surucuá-de-coleira,NE,EN,0,0.8310685792337523,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0,0.0
Discosura langsdorffi,rabo-de-espinho,NE,EN,0,0.8095782068198455,0,1,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,1,1,1,0,0,0,0,0,0.0
Coryphistera alaudina,corredor-crestudo,CR,CR,1,0.8031707415320292,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,3.0
