reino,filo,classe,ordem,familia,genero,especie,subespecie,nome_cientifico_anterior,autor,nome_comum,grupo,mesano_avaliacao,categoria_2026,possivemente_extinta,criterio,justificativa,endemica_brasil,consta_em_lista_nacional_oficial,estado,regiao,bioma,bacia_hidrografica,unidade_de_conservacao_federal,unidade_de_conservacao_estadual,rppn,migratoria,tendencia_populacional,ameaca,uso,acao_conservacao,plano_de_acao,listas_e_convencoes,altitudeminmax,barimetriaminmax,especie_limpa,categoria_2014,lista_2014,status_2026,status_2014
Animalia,Arthropoda,Insecta,Hymenoptera,Colletidae,Actenosigynes,Actenosigynes mantiqueirensis,,,"Silveira, 2009",Abelha,Invertebrados Terrestres,07/2021,Criticamente em Perigo,Não,B1ab(iii),"Actenosigynes mantiqueirensis é endêmica do Brasil, registrada apenas na porção mineira da Serra da Mantiqueira. A espécie, aparentemente, é associada aos ambientes com dominância de floresta mista de Araucária e parece ser dependente de uma única fonte de pólen, a planta Blumenbachia amana (Loasaceae). A região de ocorrência da espécie, sobretudo as fitofisionomias florestais e campestres da Serra da Mantiqueira, estão sobre forte pressão antrópica há décadas. Atualmente, essas áreas sofrem impactos oriundos da expansão urbana e das atividades agropecuárias da região, que além de causarem perda e fragmentação da paisagem natural, também acarretam no declínio da qualidade do habitat remanescente. A fragmentação ambiental, somada à baixa capacidade de dispersão da espécie e à dependência de apenas uma fonte de pólen, sugerem que a população esteja severamente fragmentada. Por essas razões, Actenosigynes mantiqueirensis foi categorizada como Criticamente Em Perigo (CR), pelo critério B1ab(iii).",Sim,Não,Minas Gerais,|Sudeste|,Mata Atlântica,Sub-bacia Grande,,ÁREA DE PROTEÇÃO AMBIENTAL FERNÃO DIAS,,Não,Desconhecida,"11 - Mudanças e extremos climáticos
11.1 - Mudança/alteração de habitat
1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.4 - Agricultura de escala desconhecida
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.4 - Pecuária em escala desconhecida",,Plano de Ação Nacional (PAN),Plano de Ação Nacional para a Conservação de Insetos Polinizadores,,,,actenosigynes mantiqueirensis,,,CR,NE
Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Actinote,Actinote zikani,,Actinote zikani,"D´Almeida, 1951",Borboleta,Invertebrados Terrestres,09/2024,Criticamente em Perigo,Não,"B1b(i,ii,iii,v)c(iv)","Actinote zikani é endêmica do Brasil, registrada em uma única localidade, ao longo de uma trilha de 1,5 km no distrito de Paranapiacaba, município de Santo André, São Paulo. Sua Extensão de Ocorrência (EOO) e sua Área de Ocupação (AOO) foram calculadas em 12 km². Duas das três subpopulações originais da localidade tipo (Boracéia e Alto da Serra, São Paulo), não foram localizadas desde o início da década de 90, mesmo com grande esforço de amostragem, o que caracteriza declínio da Extensão de Ocorrência, da área de ocupação e do número de indivíduos maduros de sua população. A porção restante da população conhecida está muito próxima de áreas de extrema pressão antrópica (vila de Paranapiacaba, município de Santo André), quase emendada com a região metropolitana de São Paulo e adjacente ao parque industrial de Cubatão, que adicionalmente promovem declínio da qualidade do habitat remanescente, sobretudo por expansão urbana e poluição industrial. Estudo populacional revelou flutuações extremas entre 1994 e 2023. Por essas razões, A. zikani foi categoriza como Criticamente em Perigo (CR), segundo os critérios B1b(i,ii,iii,v)c(iv).",Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,"Sub-bacia Litoral SP
Sub-bacia Tietê",,PARQUE ESTADUAL DA SERRA DO MAR,,Não,Declinando,"1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
1.2 - Áreas comerciais e industriais
9 - Poluição
9.5 - Poluição do ar
9.5.1 - Chuva ácida
9 - Poluição
9.5.2 - Fumaça (industrial
veículos
etc)",,Plano de Ação Nacional (PAN),"Plano de Ação Nacional para a Conservação de Insetos Polinizadores, Plano de Ação Nacional para a Conservação de Lepidópteros","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022",,,actinote zikani,CR,1.0,CR,CR
Animalia,Chordata,Amphibia,Anura,Eleutherodactylidae,Adelophryne,Adelophryne maranguapensis,,Adelophryne maranguapensis,"Hoogmoed, Borges & Cascon, 1994",Rãnzinha-pulga,Anfíbios,09/2018,Criticamente em Perigo,Não,B1ab(iii),"Adelophryne maranguapensis é endêmica do Brasil, conhecida somente da localidade-tipo (Pico da Rajada, na Serra de Maranguape) no estado do Ceará, em uma área restrita de floresta úmida (brejo de altitude) entre 800 e 900 metros de altitude. Sua extensão de ocorrência foi estimada em 2 km&sup2;. A espécie é bromelígena e abundante localmente, contudo, sofre forte pressão antrópica devido à expansão urbana, com a construção de casas de veraneio, e de plantações de bananas, que atingem as porções mais altas da Serra, caracterizando declínio continuado na qualidade do seu hábitat. Toda sua distribuição é tida como apenas uma localização, considerando a principal ameaça a expansão dos plantios de banana. Por essas razões, Adelophryne maranguapensis foi avaliada como Criticamente em Perigo (CR) pelo critério B1ab(iii).",Sim,Sim,Ceará,|Nordeste|,Caatinga,Sub-bacia Litoral CE PI,,,,Não,Desconhecida,"1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
1 - Desenvolvimento residencial e comercial
1.3 - Áreas de turismo e recreação
2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.2 - Agricultura em pequenas propriedades
5 - Uso de recursos biológicos
5.2 - Coleta de plantas terrestres
5.2.2 - Efeitos indiretos (a espécie não é o alvo)",,"Identificação de novas áreas protegidas, Plano de Ação Nacional (PAN), Proteção de recursos/habitat","Plano de Ação Nacional para a Conservação da Herpetofauna Ameaçada da Mata Atlântica Nordestina, Plano de Ação Nacional para a Conservação da Herpetofauna do Nordeste - 2º ciclo","Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022",,,adelophryne maranguapensis,CR,1.0,CR,CR
Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,Aegla brevipalma,,Aegla brevipalma,"Bond-Buckup & Santos, 2012",Egla,Invertebrados de Água Doce,10/2019,Criticamente em Perigo,Não,B1ab(iii),"Aegla brevipalma é endêmica do Brasil e conhecida em uma única localidade, no Rio Matador, Município de Bom Retiro (SC). A extensão de ocorrência foi calculada em 3 km&sup2; e foi identificada uma localização a partir da principal ameaça, que é o avanço das atividades agropecuárias, com substituição da vegetação nativa por silvicultura. A região onde a espécie ocorre está sujeita ao declínio continuo da qualidade de habitat, devido à criação de bovinos e suínos nas imediações do curso d’água. Por isso, A. brevipalma foi categorizada como Criticamente em Perigo (CR), segundo o critério B1ab(iii).",Sim,Sim,Santa Catarina,|Sul|,Mata Atlântica,Sub-bacia Uruguai Alto,,,,Não,Declinando,"2 - Agropecuária e Aquacultura
2.2 - Silvicultura
2.2.1 - Plantações em pequenas propriedades
2 - Agropecuária e Aquacultura
2.3 - Pecuária
2.3.2 - Pecuária em pequenas propriedades
9 - Poluição
9.3 - Agropecuária e florestal
9.3.1 - Acúmulo de nutrientes
9 - Poluição
9.3.2 - Erosão do solo/sedimentação",,"Plano de Ação Nacional (PAN), Proteção de locais/áreas",Plano de Ação Nacional para a Conservação dos Peixes e Eglas da Mata Atlântica,"Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022",,,aegla brevipalma,CR,1.0,CR,CR
Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,Aegla cavernicola,,Aegla cavernicola,"Türkay, 1972",Não Informado,Invertebrados de Água Doce,05/2018,Criticamente em Perigo,Não,"B2ab(iii,v)","Aegla cavernicola é endêmica de um sistema de cavernas (Sistema Areias) na região do Parque Estadual Turístico do Alto Ribeira, São Paulo, possuindo reduzida área de ocupação (aproximadamente 0,02 km&sup2;), e que corresponde a uma única localização. Este sistema é caracterizado por ser ambiente singular, composto por um habitat subterrâneo frágil e de comunidade animal fortemente dependente de aporte de nutrientes de origem externa (meio epígeo). Além disso, observa-se ainda a degradação ambiental (assoreamento, desmatamento e poluição da água) no entorno das cavernas em consequência da ocupação humana e um acentuado declínio populacional em anos recentes. Por esses motivos, a espécie foi categorizada como Criticamente em Perigo de acordo com o critério B2ab(iii,v).",Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,Sub-bacia Litoral RJ SP,,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,,Não,Declinando,"1 - Desenvolvimento residencial e comercial
1.1 - Expansão urbana
6 - Distúrbios humanos
6.1 - Atividades recreacionais/turísticas
7 - Modificações nos sistemas naturais
7.3 - Outras modificações nos ecossistemas
9 - Poluição
9.1 - Doméstica e urbana - escoamento de água
9.1.1 - Esgoto
9 - Poluição
9.3 - Agropecuária e florestal
9.3.2 - Erosão do solo/sedimentação
9 - Poluição
9.4 - Lixo e resíduos sólidos
9.4.1 - Urbanos",15 - Pesquisa,"Expansão de áreas protegidas, Manejo de locais/áreas, Plano de Ação Nacional (PAN), Proteção de recursos/habitat",Plano de Ação Nacional para a Conservação das Cavernas do Brasil,"Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022",,,aegla cavernicola,CR,1.0,CR,CR
Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,Aegla charon,,,"Bueno & Moraes, 2017",Não Informado,Invertebrados de Água Doce,05/2018,Criticamente em Perigo,Não,B2ab(iii),"Aegla charon é conhecida somente da localidade-tipo, a caverna “Lago Subterrâneo”, no município de Guapiara, São Paulo. Sua área de ocupação é muito restrita, estimada em menos de 10km2. Apesar de a caverna estar em uma unidade de conservação (Parque Estadual de Intervales), há estudos em outras cavernas da região que indicam poluição das águas por metais pesados decorrentes de atividade de mineração no entorno. Além disso, a presença de pleópodos nos machos da espécie sugere má formação decorrente de contaminação, já que essa não é uma característica dos machos do grupo. Considerando uma localização, a espécie foi categorizada como Criticamente em Perigo pelo critério B2ab(iii).",Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,Sub-bacia Paranapanema,,"APA SERRA DO MAR, PARQUE ESTADUAL INTERVALES",,Não,Desconhecida,"9 - Poluição
9.2 - Industrial
9.2.2 - Infiltraçao oriunda de mineração
9 - Poluição
9.2.3 - Contaminação por metais pesados",,Plano de Ação Nacional (PAN),Plano de Ação Nacional para a Conservação das Cavernas do Brasil,Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022,,,aegla charon,CR,0.0,CR,CR
Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,Aegla leptochela,,Aegla leptochela,"Bond-Buckup & Buckup, 1994",Não Informado,Invertebrados de Água Doce,05/2018,Criticamente em Perigo,Não,"B2ab(iii,v)","Aegla leptochela é conhecida somente da Gruta dos Paiva, na região do Alto Ribeira, estado de São Paulo, com uma área de ocupação (AOO) muito reduzida e estimada em 0,00864km&sup2;. Seu habitat é caracterizado por ser um ambiente singular (hipógeo), frágil e com comunidade animal fortemente dependente de aporte de nutrientes de origem externa (meio epígeo). A localidade apresenta declínio na qualidade do habitat em virtude da exploração de minério e de calcário, desmatamento e perturbações provocadas por visitação, além de sofrer com a introdução e estabelecimento de uma população não-endêmica de carpa que compete com os eglídeos pelos escassos recursos e nutrientes provenientes do meio epígeo. Foi observado um declínio significativo no tamanho estimado de indivíduos adultos na população em anos recentes. Considerando uma localização a espécie foi categorizada como Criticamente em Perigo (CR) pelo critério B2ab(iii,v).",Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,Sub-bacia Litoral RJ SP,,,,Não,Declinando,"3 - Produção energética e mineração
3.2 - Mineração
3.2.3 - Extração de minérios - subsolo
6 - Distúrbios humanos
6.1 - Atividades recreacionais/turísticas
7 - Modificações nos sistemas naturais
7.3 - Outras modificações nos ecossistemas
8 - Espécies invasoras
problemáticas e doenças
8.1 - Espécies exóticas
8.1.1 - Espécie conhecida
8.1.1.1 - Competidores
8 - Espécies invasoras
problemáticas e doenças
8.1.1.2 - Predadores
9 - Poluição
9.2 - Industrial
9.2.2 - Infiltraçao oriunda de mineração
9 - Poluição
9.2.3 - Contaminação por metais pesados",15 - Pesquisa,"Controle de espécies invasoras/problemáticas, Expansão de áreas protegidas, Manejo de locais/áreas, Nível regional, Plano de Ação Nacional (PAN), Proteção de recursos/habitat",Plano de Ação Nacional para a Conservação das Cavernas do Brasil,"Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022",,,aegla leptochela,CR,1.0,CR,CR
Animalia,Arthropoda,Malacostraca,Decapoda,Aeglidae,Aegla,Aegla microphthalma,,Aegla microphthalma,"Bond-Buckup & Buckup, 1994",Não Informado,Invertebrados de Água Doce,05/2018,Criticamente em Perigo,Não,"B2ab(iii,v)","Aegla microphtalma é conhecida apenas da localidade-tipo, a Caverna Santana no Parque Estadual Turístico do Alto Ribeira, estado de São Paulo, possuindo reduzida área de ocupação (0,02272 km&sup2;). Foi observado um forte declínio populacional nos últimos 40 anos. Seu habitat é caracterizado por ser um ambiente singular (habitat subterrâneo), frágil e com comunidade animal fortemente dependente de aporte de nutrientes de origem externa (meio epígeo). A degradação ambiental na região causada pela exploração de minério continua ocorrendo de forma clandestina, afetando as drenagens da região. Expedições recentes registraram a espécie muito raramente. Considerando uma localização, a espécie foi categorizada como Criticamente em Perigo pelo critério B2ab(iii,v).",Sim,Sim,São Paulo,|Sudeste|,Mata Atlântica,Sub-bacia Litoral RJ SP,,PARQUE ESTADUAL TURÍSTICO DO ALTO DO RIBEIRA,,Não,Declinando,"3 - Produção energética e mineração
3.2 - Mineração
3.2.3 - Extração de minérios - subsolo
6 - Distúrbios humanos
6.1 - Atividades recreacionais/turísticas
7 - Modificações nos sistemas naturais
7.3 - Outras modificações nos ecossistemas
8 - Espécies invasoras
problemáticas e doenças
8.2 - Espécies domésticas
8.2.1 - Competidores
8 - Espécies invasoras
problemáticas e doenças
8.2.2 - Predadores
9 - Poluição
9.2 - Industrial
9.2.2 - Infiltraçao oriunda de mineração
9 - Poluição
9.2.3 - Contaminação por metais pesados",15 - Pesquisa,Plano de Ação Nacional (PAN),Plano de Ação Nacional para a Conservação das Cavernas do Brasil,"Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022",,,aegla microphthalma,CR,1.0,CR,CR
Animalia,Arthropoda,Arachnida,Palpigradi,Eukoeneniidae,Allokoenenia,Allokoenenia canhembora,,,"Souza & Ferreira, 2022",Não Informado,Invertebrados Terrestres,05/2024,Criticamente em Perigo,Não,B1ab(iii)+2ab(iii),"Allokoenenia canhembora é endêmica do Brasil, conhecida apenas da localidade-tipo, a caverna Toca do Gonçalo, no município de Umburanas, estado da Bahia. A caverna é fortemente impactada, principalmente pela exploração de água subterrânea e consequente redução regional do nível freático, e pela remoção da vegetação nativa do entorno da caverna para atividades agropecuárias. A Extensão de Ocorrência (EOO) foi calculada em menos de 1 km² e igualada à Área de Ocupação (AOO), calculada em 8 km². Considerando uma localização e o declínio continuado da qualidade do habitat em função dos impactos mencionados, A. canhembora foi categorizada como Criticamente em Perigo (CR) pelos critérios B1ab(iii)+2ab(iii).",Sim,Não,Bahia,|Nordeste|,Caatinga,Sub-bacia São Francisco Submédio,,,,Não,Desconhecida,"2 - Agropecuária e Aquacultura
2.1 - Culturas anuais e perenes não-madeireiras
2.1.2 - Agricultura em pequenas propriedades
7 - Modificações nos sistemas naturais
7.2 - Represas e uso de água
7.2.5 - Captação de água subterrânea - uso doméstico
7 - Modificações nos sistemas naturais
7.2.6 - Captação de água subterrânea - uso comercial
7 - Modificações nos sistemas naturais
7.3 - Outras modificações nos ecossistemas",,,,,,,allokoenenia canhembora,,,CR,NE
Animalia,Chordata,Elasmobranchii,Lamniformes,Alopiidae,Alopias,Alopias vulpinus,,Alopias vulpinus,"(Bonnaterre, 1788)","tubarão-rabudo, tubarão-raposa, tubarão-saltador",Tubarões e Raias,11/2017,Criticamente em Perigo,Não,A4bd,"A distribuição geográfica de Alopias vulpinus é ampla, ocorrendo em todos os oceanos. A espécie nunca foi considerada abundante na costa brasileira e por este motivo sua biologia é pouco conhecida. É capturada como fauna acompanhante em diversas artes de pesca incluindo espinhéis, redes de emalhar e redes de arrasto. Embora a captura da espécie seja incidental na pesca dirigida a outras espécies de peixes pelágicos, quando capturada é aproveitada para o consumo humano. Assumindo uma única população para o Atlântico Sul, os resultados de estudo conduzido em uma área significativa da distribuição da espécie no Brasil que indicaram redução nas taxas de captura de aproximadamente 97%, bem como a perspectiva de continuidade de ameaças a espécie, infere-se um declínio populacional maior que 80% em uma janela de 45 anos (equivalente a três gerações) a partir de 2002. Assim, a espécie foi categorizada como Criticamente em Perigo (CR) pelos critérios A4bd.",Não,Sim,"Alagoas, Amapá, Bahia, Ceará, Espírito Santo, Maranhão, Pará, Paraíba, Paraná, Pernambuco, Piauí, Rio de Janeiro, Rio Grande do Norte, Rio Grande do Sul, Santa Catarina, São Paulo, Sergipe",|Nordeste|Norte|Sudeste|Sul|,Sistema Costeiro-Marinho,,"APA Baleia Franca, PARNA Marinho dos Abrolhos",APA MARINHA DO LITORAL CENTRO,,Sim,Declinando,"5 - Uso de recursos biológicos
5.1 - Caça e captura de animais terrestres ou marinhos
5.1.1 - Caça/captura intencional (a espécie é o alvo)
5.1.1.4 - Esportiva
5 - Uso de recursos biológicos
5.4 - Pesca e uso de recursos aquáticos
5.4.2 - Captura intencional - larga escala
5.4.2.6 - Arrasto
5 - Uso de recursos biológicos
5.4.2.7 - Emalhe
5 - Uso de recursos biológicos
5.4.2.8 - Espinhel
5 - Uso de recursos biológicos
5.4.6 - Captura indireta - larga escala
5.4.6.6 - Arrasto
5.4.6.6.1 - Arrasto simples
5 - Uso de recursos biológicos
5.4.6.6.2 - Arrasto duplo
5 - Uso de recursos biológicos
5.4.6.7 - Emalhe
5.4.6.7.1 - Emalhe de fundo
5 - Uso de recursos biológicos
5.4.6.7.2 - Emalhe de superfície
5 - Uso de recursos biológicos
5.4.6.8 - Espinhel
5.4.6.8.1 - Espinhel de superfície","13 - Outros bens de consumo
1 - Alimentação humana
1.6 - Pesca - comércio internacional
1 - Alimentação humana
1.8 - Pesca industrial
1.8.6 - Arrasto
1 - Alimentação humana
1.8.7 - Emalhe
1 - Alimentação humana
1.8.8 - Espinhel
4 - Caça/pesca esportiva","Criação de áreas protegidas, Legislação e política, Plano de Ação Nacional (PAN), Proteção de locais/áreas",Plano de Ação Nacional para a Conservação dos Elasmobrânquios Ameaçados de Extinção,"Comissão Internacional para a Conservação do Atum do Atlântico - ICCAT, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2014, Lista Nacional Oficial de Espécies da Fauna Ameaçadas de Extinção 2022, CITES - Anexo II",,"0 , 350",alopias vulpinus,CR,1.0,CR,CR
